id,created,updated,title,cwd,git_branch,git_origin_url
019e3c57-b74b-7e23-b231-242ee9a18986,"2026-05-18 18:27:22","2026-07-01 14:32:40","Do some research on Every.2 and how Austin Tedesco uses Codex to do his day-to-day. There should be an AI and I podcast episode where he talks about this. So there should be a long","/Users/padmin/Documents/New project",,
019e89e4-117d-7e90-b258-214fafae339e,"2026-06-02 19:51:25","2026-06-30 18:29:25","Write me a post-event follow-up sequence for HubSpot sequences using the content from this landing page. I want to lead with the slide deck for the session in case somebody missed ","/Users/padmin/Documents/New project",,
019ead78-78a4-7713-b1d3-6b85fa8006b9,"2026-06-09 17:40:14","2026-06-30 12:58:20",Content,"/Users/padmin/Documents/New project",,
019f13a2-5f53-7b40-b201-b2d5261e7bdc,"2026-06-29 13:47:16","2026-06-29 20:59:21","I need you to create a list of all of the new Portico employees that I need to add to HubSpot. The last person that I added was on May 26th, and that was Sukeshini Ayendla. Please ","/Users/padmin/Documents/New project",,
019f14b3-a409-77a3-9e51-2e6cdcd9ff04,"2026-06-29 18:45:45","2026-06-29 18:50:29","Request Gong Codex setup","/Users/padmin/Documents/New project",,
019f1427-8dfe-7fa1-b533-211f4ce6094a,"2026-06-29 16:12:44","2026-06-29 18:30:41","Name this chat ""Next Gen Jess"" and you're going to be my career and life coach. You're going to analyze my career, my role at Portico (and how to grow it and help Portico succed) a","/Users/padmin/Documents/New project",,
019df930-da1a-74d0-a643-17b1b624260b,"2026-05-05 17:30:21","2026-06-29 16:53:23","Let's update this newlsetter with the following content  <style type=""text/css"">   @import url('https://fonts.googleapis.com/css2?family=Hepta+Slab:wght@400;700&family=Source+Sans+","/Users/padmin/Documents/New project",,
019e6493-cf4b-7340-b049-196bb2c28328,"2026-05-26 13:57:49","2026-06-29 05:46:08","This will be home base for our ColdIQ campaigns. What context do you have from previouschats?","/Users/padmin/Documents/New project",,
019ecb9c-4a95-76d2-944f-66d1121f7324,"2026-06-15 14:07:58","2026-06-17 20:00:00","Let's run our morning sweep and let's look at our everything that we have accomplished so far on the pre-out-of-office to-do list. Remember Wednesday is my last day. I'm going to t","/Users/padmin/Documents/New project",,
019ed09d-ae71-7690-ad93-8039ab3ffe31,"2026-06-16 13:27:35","2026-06-16 14:26:06","Codex Coach","/Users/padmin/Documents/New project",,
019eb34c-7c49-74a3-9b57-9c943b8c075c,"2026-06-10 20:49:54","2026-06-11 13:25:57","Update June financial aid newsletter","/Users/padmin/Documents/New project",,
019eb2f5-3e24-7b51-90e3-9d1a2eb51cf3,"2026-06-10 19:14:37","2026-06-10 19:20:40","Create portfolio website",/Users/padmin/Documents/Codex/2026-06-10/sites-plugin-sites-openai-bundled-create,,
019ead88-89f0-7520-8bf0-52b4403d3d47,"2026-06-09 17:57:47","2026-06-09 21:03:01","can yo ulook at the content calendar and outline the CECU pre and post event promo plans, we'll have two social posts (one generic, one with our featured session) plus a couple pre","/Users/padmin/Documents/New project",,
019eadc4-8596-70a1-a619-875100a08c2f,"2026-06-09 19:03:18","2026-06-09 20:43:42","Prepare Momentum 2027 launch","/Users/padmin/Documents/New project",,
019eac9f-cf78-7213-a82c-c264705cbeaa,"2026-06-09 13:43:35","2026-06-09 14:31:27","Take all the questions and the answers in this spreadsheet. Clean up the formatting of the questions, like some of them are phrased strangely, so reword them so that the questions ","/Users/padmin/Documents/New project",,
019e98a5-1430-7ac2-8274-764a45dc393e,"2026-06-05 16:36:55","2026-06-05 16:46:33","Research higher ed podcasts","/Users/padmin/Documents/New project",,
019e8e32-83ef-7b93-9d80-3a8f959fac9b,"2026-06-03 15:55:35","2026-06-03 16:09:44","Add unanswered Q&A questions","/Users/padmin/Documents/New project",,
019e8de9-043e-7353-8814-f04a8cc4a185,"2026-06-03 14:35:18","2026-06-03 14:42:20","Split names for HubSpot import","/Users/padmin/Documents/New project",,
019e6b7f-28dd-7980-a65a-a8affc060817,"2026-05-27 22:12:36","2026-06-02 20:09:58","Write Trajecsys webinar landing page","/Users/padmin/Documents/New project",,
019e6bb0-34a7-7271-a175-d0903e5ed437,"2026-05-27 23:06:10","2026-05-27 23:12:47","Find wedding prep location","/Users/padmin/Documents/New project",,
019e65c8-a01e-75c0-86bc-d12eb1c6dacb,"2026-05-26 19:35:07","2026-05-27 14:13:10","Generate SharePoint HTML","/Users/padmin/Documents/New project",,
019e64c2-4e46-7551-9ff9-cb2575cb84c1,"2026-05-26 14:48:36","2026-05-26 14:58:04","Add FASFAA pre-event email link","/Users/padmin/Documents/New project",,
019e5310-dbab-7f82-b9ce-78b1e677f5fd,"2026-05-23 04:21:14","2026-05-23 04:50:19","Organize One Piece cards","/Users/padmin/Documents/New project",,
019e52a7-9b2d-7030-9f0c-fcd6e588fcdb,"2026-05-23 02:26:16","2026-05-23 03:07:14","Extract site assets","/Users/padmin/Documents/New project",,
019e4b9f-7759-7dd3-9bdc-4d3a39293da9,"2026-05-21 17:40:02","2026-05-21 18:56:47","Build SharePoint employee directory","/Users/padmin/Documents/Q126 Financial Aid Campaign",,
019e40c3-35f7-74b2-b9d7-ad5c43602654,"2026-05-19 15:03:15","2026-05-19 15:43:30","Build ACEN scraper",/Users/padmin/Documents/Codex/2026-05-19/build-a-production-ready-python-scraper,,
019e07be-f43a-7a22-a3a1-d5fe612fa237,"2026-05-08 13:20:15","2026-05-08 13:26:58","Compare two proposals","/Users/padmin/Documents/New project",,
019df94c-a554-7fc3-92f1-70f49a3d2e20,"2026-05-05 18:00:43","2026-05-05 18:00:43","Update newsletter","/Users/padmin/Documents/New project",,
019db6fa-e828-7ca2-9ef2-ea5fc2a8d4a0,"2026-04-22 20:56:30","2026-04-23 18:01:22","Design email","/Users/padmin/Documents/New project",,
019db0f0-e8d1-7ae0-98c8-59935ba09d0c,"2026-04-21 16:47:51","2026-04-21 17:43:50","Subject: Momentum 2026 Follow-Up: Earnings Accountability Rule Comment Period  Dear School Partners, Thank you for your engagement and support—Momentum 2026 was a great success bec","/Users/padmin/Documents/New project",main,
019d9ba2-cea8-7ce2-a559-9474dd276ee5,"2026-04-17 13:30:31","2026-04-17 15:13:28","Let's create a post-Momentum email using the Momentum branding  Email Header_Post_Momentum Hi Partner,     Our second user conference as Portico (formerly Campus Ivy, CourseKey, Tr","/Users/padmin/Documents/New project",main,
019d68c5-3eca-7560-bd86-6ce6b3b66b34,"2026-04-07 16:27:30","2026-04-10 14:01:47","Code a Momentum style email for me inviting registrants to a pre-conference ""What to expect"" webinar: https://events.teams.microsoft.com/event/0cd074ae-b279-4b57-91e4-721f3da67270@","/Users/padmin/Documents/New project",main,
019d6e63-e5a8-73b0-8a07-8647d4e31693,"2026-04-08 18:38:53","2026-04-08 19:11:12","I just used Claude Code to make a timeline HTML block. It's in the AI folder, I think under Financial Aid. Can you find it and put it in here for copy and pasteable into HubSpot la","/Users/padmin/Documents/New project",main,
019d6829-4e72-7421-a303-d87dfcecae81,"2026-04-07 13:37:10","2026-04-07 13:49:49","Rewrite this landing page, but use the attached logo in place of the Portico logo. <!--   templateType: page   isAvailableForNewContent: true   label: Financial Aid LP --> <!doctyp","/Users/padmin/Documents/New project",main,
019d62f3-c9cb-75c1-a324-2526231460f8,"2026-04-06 13:20:37","2026-04-06 15:12:51","Hey let's do a new email. We're copying the design and formatting from the last Portico POV newsletter, including the opening section with the Portico Pathways graphic. Here is the","/Users/padmin/Documents/New project",main,
019d5027-6334-7bc0-a793-4011c7c86a8b,"2026-04-02 21:44:11","2026-04-02 21:44:32","what's wrong with this code? I'm adding to a source code block and nothing is happening   <div id=""verity-form""></div> <script src=""https://demo.verityiq.com/FormCustomer/GetCustom","/Users/padmin/Documents/New project",,
019d49d6-8cc5-7602-a5c9-c60ab4cfb15d,"2026-04-01 16:18:10","2026-04-01 17:10:11","ok let's do a product email, here's the copy please create the html block for the HubSpot email etemplate:  SIS Release Notes  New features in our latest SIS release improves accur","/Users/padmin/Documents/New project",main,
019d4577-250d-7533-a7fe-710740924fbd,"2026-03-31 19:55:29","2026-03-31 20:19:41","This email flopped, let's redo it. Here are edits from the VP of marketing: rework the flow to be Last Chance related at top, featured sessions, then reminder of hotel deadline ext","/Users/padmin/Documents/New project",main,
019d452a-e30d-7280-a25e-6201aca5bf08,"2026-03-31 18:32:11","2026-03-31 19:43:54","update this email to be a follow up for the latest webinar:   <div style=""display:none;max-height:0;overflow:hidden;opacity:0;mso-hide:all;visibility:hidden;line-height:1px;color:t","/Users/padmin/Documents/New project",main,
019d3f11-0901-7be3-a148-d4e3c836bfdf,"2026-03-30 14:06:14","2026-03-30 15:54:16","Hey, let's fire up that email skill. We're going to do another email, but before we get started, we have been working on emails for a while now, and we've made some recent formatti","/Users/padmin/Documents/New project",main,
